number of iterations = 10000000
number of buckets; meanJumpHash; varianceJumpHash; meanJumpBackHash; varianceJumpBackHash; meanJumpBackHash32; varianceJumpBackHash32
88; 5.0605847; 3.4292217941259118; 1.3462873; 0.30142920585871025; 2.4547498; 0.6608992193999592
89; 5.0725965; 3.440283248187747; 1.335906; 0.2919891591639998; 2.4380539; 0.6298304806947908
90; 5.0823468; 3.450064404529762; 1.3255492; 0.28256911837935994; 2.4224683; 0.6011352354951107
91; 5.0944906; 3.459945726511638; 1.3157198; 0.27353200788795995; 2.406668; 0.5716871377760002
92; 5.1047634; 3.471207430020435; 1.3052778; 0.2645988648271598; 2.3919263; 0.5456586753683093
93; 5.1151395; 3.481249395539752; 1.2955331; 0.25602228680438976; 2.3763136; 0.5179058744550398
94; 5.12571; 3.4909305959000037; 1.2857028; 0.24745971007216006; 2.3620508; 0.4934856182193599
95; 5.1355235; 3.502017080947752; 1.2761041; 0.23908722596319; 2.3475422; 0.46801081921916055
96; 5.1467992; 3.5117453948793553; 1.2669328; 0.23117348028416007; 2.3331987; 0.44395532631831003
97; 5.1570616; 3.520904453805443; 1.2572202; 0.2231443687119603; 2.3199027; 0.42217396253270945
98; 5.1671209; 3.533477704783195; 1.2479923; 0.2152753191407102; 2.3059931; 0.399678722752391
99; 5.179318; 3.5419772548759987; 1.2387672; 0.20754522420415977; 2.2929094; 0.37854408339164003
100; 5.1874591; 3.5530499858271902; 1.2298646; 0.20007966566684; 2.2798766; 0.35836808877243875
101; 5.1977082; 3.562527067652759; 1.2209256; 0.19263827926464017; 2.2676833; 0.3391629509011107
102; 5.2071976; 3.5708507545542396; 1.2121125; 0.18534578734375007; 2.2548893; 0.3198211447455108
103; 5.2166858; 3.581617464078363; 1.2031048; 0.17780364021696005; 2.2427079; 0.3016595752775899
104; 5.2270864; 3.5905323669350366; 1.194496; 0.17081970598399998; 2.2309874; 0.28438162104124043
105; 5.2353396; 3.602957072671842; 1.1856778; 0.16353475458716016; 2.2187749; 0.2666212431299897
106; 5.2446867; 3.6114431188431126; 1.1771513; 0.15650571690830994; 2.2076228; 0.25067677292015844
107; 5.2544273; 3.6155944490147114; 1.1685496; 0.14942403233984014; 2.1962612; 0.23484114137456036
108; 5.2631101; 3.629175575277994; 1.1601811; 0.14250131520279008; 2.1851765; 0.2194855638477513
109; 5.2737298; 3.640421396591961; 1.1518562; 0.13563569452155977; 2.1744026; 0.2048961331132393
110; 5.2823427; 3.645865299756707; 1.1434609; 0.12872747017119002; 2.1638379; 0.19083204252359032
111; 5.290705; 3.656254202974999; 1.135221; 0.12179548115899985; 2.1532386; 0.17674313147004028
112; 5.300143; 3.6603533795509975; 1.1269921; 0.11489190653758996; 2.1428174; 0.16316499025723896
113; 5.3088393; 3.6707863867755144; 1.1188122; 0.10802986113115987; 2.1327018; 0.1504476322767605
114; 5.3174709; 3.683605727653191; 1.1105816; 0.1010065097414401; 2.1226359; 0.13762753603118938
115; 5.327164; 3.6937411171040004; 1.1027012; 0.09429486351855987; 2.1132334; 0.12611279712444112
116; 5.3348084; 3.6989927352894405; 1.0945587; 0.08728995225430958; 2.1035062; 0.11418346656155975
117; 5.3437597; 3.7082259686559134; 1.086424; 0.08026049222399978; 2.094072; 0.1028430588159992
118; 5.3525966; 3.714941237668441; 1.078681; 0.07344370023900004; 2.0846499; 0.0917846944299896
119; 5.3608897; 3.722482724433906; 1.0706304; 0.06633874659583983; 2.0755035; 0.0811961214877499
120; 5.369142; 3.731051583835999; 1.062661; 0.05923799907899974; 2.0666173; 0.07101383534071015
121; 5.3765092; 3.741450022315359; 1.0547786; 0.05209990498204031; 2.057741; 0.06103277691900022
122; 5.3854276; 3.7487169651582413; 1.0468836; 0.044884328051040034; 2.0492408; 0.05167334361535847
123; 5.3939747; 3.7589500357599057; 1.0392307; 0.037816652177509846; 2.0405914; 0.04224053824604024
124; 5.4017918; 3.7644717494527598; 1.0312583; 0.030347018681110116; 2.032276; 0.033291659824000064
125; 5.408043; 3.769626510150996; 1.0234813; 0.022954328550309766; 2.0241166; 0.024693389604439453
126; 5.417761; 3.7829497468790017; 1.0155899; 0.015352855017990219; 2.0159014; 0.016175545478039233
127; 5.4255565; 3.7867153653077494; 1.0077598; 0.007700185503959789; 2.0078838; 0.00794424569755936
128; 5.4338768; 3.798031522421759; 1.0; 0.0; 2.0; 0.0
129; 5.4412714; 3.8046705515420385; 1.6581537; 0.6548458071763101; 2.9848067; 1.9520108636351097
130; 5.4472134; 3.8091129748604438; 1.6495118; 0.6430414216607603; 2.9687811; 1.907537080282788
131; 5.45654; 3.819610028399996; 1.6415151; 0.6316972764719906; 2.9540606; 1.8642207715276395
132; 5.4641572; 3.82672229368816; 1.6326068; 0.6202204365937596; 2.9389057; 1.8199407865075106
133; 5.4720019; 3.831020506396385; 1.6250413; 0.60955347329431; 2.924985; 1.779914149775001
134; 5.4792123; 3.8447796715287055; 1.6168967; 0.5992423615291096; 2.9098729; 1.7365428058455912
135; 5.4862035; 3.8492884565877468; 1.6092882; 0.5896214893407601; 2.8960781; 1.7003379387003896
136; 5.4937207; 3.8548201703915126; 1.6008384; 0.5788380170854399; 2.8820169; 1.6605104881143902
137; 5.5005903; 3.863658451545909; 1.592588; 0.5676512622560006; 2.8681839; 1.6204100157807897
138; 5.5086104; 3.871861861011837; 1.5853481; 0.5586907018263898; 2.8553785; 1.5898003217377497
139; 5.5153721; 3.8780140985415805; 1.5778763; 0.5490104818983097; 2.8418297; 1.550640456197911
140; 5.5226553; 3.8848257373819095; 1.5701392; 0.5394682926233596; 2.8283728; 1.5146097042201605
141; 5.5300832; 3.8948670010777597; 1.5625334; 0.53074097388444; 2.8151624; 1.481074461626239
142; 5.5364605; 3.9003482319397556; 1.5553696; 0.5216450073958403; 2.8023866; 1.4460865441404396
143; 5.5436841; 3.903759099407189; 1.5480227; 0.51304302028471; 2.7902691; 1.4167022495851898
144; 5.5506663; 3.914041326044316; 1.5412237; 0.5039144065583101; 2.7777628; 1.3824798269361587
145; 5.5565727; 3.919250329614705; 1.5340935; 0.4960534332577504; 2.7655644; 1.352805549452639
146; 5.5649695; 3.924507164069748; 1.5269692; 0.4879158622513602; 2.7535202; 1.321629708191959
147; 5.5701467; 3.933355640479114; 1.5204081; 0.4805251094543901; 2.74096; 1.2893780784000013
148; 5.5773199; 3.9406168330639915; 1.5131881; 0.47214727401838985; 2.7300612; 1.2628368442545588
149; 5.5841767; 3.945097883177109; 1.5065827; 0.4644322680607096; 2.7186071; 1.2345273358295907
150; 5.5917419; 3.9524192237843963; 1.4998251; 0.45705716940998986; 2.7065387; 1.2067323654023117
151; 5.5980035; 3.96028711398775; 1.4932349; 0.4491988334219901; 2.6952003; 1.1775054428799088
152; 5.6041365; 3.9662173893677526; 1.4866707; 0.4419963297615106; 2.6843113; 1.1520539446923106
153; 5.6111956; 3.9723097385406376; 1.4800028; 0.4346843119921595; 2.6733369; 1.1274853190983913
154; 5.6182633; 3.9841779918731177; 1.4733567; 0.4273301345651097; 2.6631527; 1.1041709964827104
155; 5.6240983; 3.9850660119371106; 1.4674756; 0.4215531634046399; 2.6517832; 1.0760260601977594
156; 5.6303785; 3.9920140467377543; 1.461191; 0.41446306151900014; 2.641034; 1.0508862108440002
157; 5.6359219; 3.9958400371003897; 1.4543258; 0.4073372674543605; 2.6303758; 1.02793055077436
158; 5.6437498; 4.006299594999959; 1.4486909; 0.4017405762571902; 2.6201267; 1.0044311759471096
159; 5.6496318; 4.013036324428761; 1.4422488; 0.39463639889856017; 2.6101305; 0.9829302729697504
160; 5.6554421; 4.017807553547584; 1.4362859; 0.38891651346119005; 2.5997379; 0.9588899513035898
161; 5.6618866; 4.0217173287404435; 1.4302944; 0.3824291293286399; 2.5895361; 0.9376846867967892
162; 5.6671727; 4.026767288374714; 1.4244446; 0.37692578153084; 2.5805309; 0.917222374145191
163; 5.6743994; 4.030759649279638; 1.4183009; 0.37088105705919006; 2.5699087; 0.8945559736643096
164; 5.6816407; 4.045445456103515; 1.4124894; 0.3647740948876401; 2.5609247; 0.8753935809299094
165; 5.6860813; 4.047239549790312; 1.4067596; 0.35873942780783974; 2.5511172; 0.8544106318641589
166; 5.6921277; 4.054272946892702; 1.401046; 0.35323050588399973; 2.5422014; 0.8363784418380389
167; 5.6994598; 4.061133188183966; 1.39544; 0.34736300639999973; 2.5327098; 0.81609486898396
168; 5.7030763; 4.064795216378307; 1.3896414; 0.3420957794060402; 2.5239669; 0.7985269877043901
169; 5.7100473; 4.073559931762702; 1.383949; 0.3366453653989998; 2.5153939; 0.7810230278427905
170; 5.7163677; 4.080098418396709; 1.3787618; 0.3317208988607603; 2.5064535; 0.7629255523377498
171; 5.7221439; 4.087012887692794; 1.3731993; 0.3265137824795099; 2.4971246; 0.7442683320748413
172; 5.7294007; 4.092574318839503; 1.3678945; 0.32120093686974993; 2.4882897; 0.726592868873909
173; 5.7332943; 4.092308169587511; 1.3621155; 0.3160050646597501; 2.4798579; 0.7102238958075908
174; 5.7392329; 4.098932819557582; 1.3572474; 0.31144369519323956; 2.4714947; 0.6937074478719101
175; 5.7448859; 4.10876929598119; 1.3517088; 0.30635372000256034; 2.4628584; 0.6770461015494398
176; 5.7510356; 4.110377927532646; 1.346118; 0.30110793007600023; 2.4546744; 0.6614653899846399
177; 5.7560711; 4.1175647917447975; 1.3408709; 0.29645212953318967; 2.4461475; 0.645490908243751
178; 5.7614383; 4.120376015293111; 1.3359259; 0.29184588970918957; 2.4384459; 0.6307056927731898
179; 5.7665355; 4.123637227239755; 1.3308503; 0.2871001789899097; 2.4303038; 0.6152038397055613
180; 5.7728171; 4.132298629947584; 1.3253977; 0.2823546368347103; 2.4222721; 0.6000583735615903
181; 5.7784499; 4.137358253189994; 1.3205239; 0.27796872952879004; 2.4140807; 0.5856746738875103
182; 5.7835289; 4.14201296286479; 1.3155271; 0.27365674916559035; 2.4061562; 0.5709391412015608
183; 5.7880548; 4.148735832196955; 1.3104166; 0.2689393344444402; 2.3991049; 0.5581065787959893
184; 5.7934147; 4.153211813823916; 1.3054426; 0.2644670181052404; 2.3913582; 0.5444921592927603
185; 5.7996642; 4.164601767238359; 1.3007437; 0.26038652691031006; 2.3837357; 0.5309310125455102
186; 5.8064873; 4.166251134938712; 1.2952247; 0.2556446765099103; 2.3764533; 0.51868381291911
187; 5.8106851; 4.171011768637989; 1.2907005; 0.2516735192997499; 2.368622; 0.5042322211160011
188; 5.8165473; 4.178179006862713; 1.2860459; 0.24756424309319014; 2.3616769; 0.49269192000639084
189; 5.8212404; 4.178272405407846; 1.2811357; 0.2433918181855097; 2.3541083; 0.4798464118711099
190; 5.8273805; 4.185723208219748; 1.2762759; 0.23919672707919015; 2.3470993; 0.46702697593951026
191; 5.8318286; 4.191612980222047; 1.2711441; 0.23501737703518977; 2.3407896; 0.4569350485318404
192; 5.8377038; 4.198917943465567; 1.2667492; 0.23106886429936013; 2.3329558; 0.44386003524635953
193; 5.8427384; 4.200590389165441; 1.2621442; 0.22713861840635974; 2.3262948; 0.43273890349296096
194; 5.8479784; 4.209953633133445; 1.2573353; 0.22329184337390995; 2.31928; 0.4213126815999999
195; 5.8546114; 4.213499154990046; 1.2526175; 0.21916949869375024; 2.31245; 0.4103507974999996
196; 5.8568304; 4.216138465635844; 1.2480271; 0.21529565766558978; 2.3058593; 0.3995067886035102
197; 5.8626585; 4.223760812377748; 1.2436148; 0.21166222922096; 2.2997785; 0.38945215093775065
198; 5.8680615; 4.231642332217753; 1.2387251; 0.20777222662999018; 2.2930206; 0.37870452797563914
199; 5.8726621; 4.230718959223587; 1.2343013; 0.20388820081831005; 2.2863547; 0.3685622857879105
200; 5.8775817; 4.235840259825103; 1.2296056; 0.19994626844864016; 2.2798707; 0.3577568912815101
201; 5.8839713; 4.240962640776317; 1.2252663; 0.19628599408431024; 2.2735946; 0.3485743948508393
202; 5.8880973; 4.248377685732706; 1.2207211; 0.1925812960147899; 2.2671021; 0.33879276817559045
203; 5.8934578; 4.255089959619156; 1.2162137; 0.18879033593230998; 2.2608312; 0.3288868851065594
204; 5.8972349; 4.253970434221991; 1.2119147; 0.18515925992391025; 2.2544929; 0.3190248638495907
205; 5.9021283; 4.264960030339111; 1.2072032; 0.1813298339097602; 2.248791; 0.31032503831899927
206; 5.907536; 4.266424608703993; 1.2033106; 0.17802539992764; 2.2425574; 0.3017643077052403
207; 5.9125571; 4.27168783923959; 1.1987957; 0.17448856966150994; 2.2365113; 0.29204310497230956
208; 5.9166841; 4.275685360807181; 1.1944076; 0.17079288506224022; 2.2307506; 0.28413976059963986
209; 5.9212409; 4.278985704167191; 1.1900191; 0.16718824163518997; 2.2247417; 0.27538686828111025
210; 5.9273975; 4.288444976993752; 1.1857447; 0.1637062064219097; 2.2191484; 0.26710357877744073
211; 5.9305059; 4.290754870065193; 1.1811642; 0.15992953263836007; 2.2137493; 0.2594121367495106
212; 5.9341264; 4.2947054688230395; 1.1771561; 0.15644061623279004; 2.2073761; 0.25011445314879044
213; 5.9401123; 4.30005976338871; 1.1729364; 0.15309820155503995; 2.201729; 0.24250741055900082
214; 5.9460634; 4.303668243180439; 1.1685419; 0.14943572794439008; 2.1963579; 0.23496487510758968
215; 5.9506644; 4.306904198572646; 1.164436; 0.14600020190399987; 2.1906494; 0.22703820627964078
216; 5.9541373; 4.313562912748708; 1.1601157; 0.14251646261351003; 2.1851217; 0.21941285618911
217; 5.9599411; 4.319100784530789; 1.1557852; 0.13891197146096013; 2.1798337; 0.2122479403443096
218; 5.9623839; 4.317933729020794; 1.1517261; 0.1355400905787898; 2.1745266; 0.20479266589243927
219; 5.9696695; 4.32658736076975; 1.1476769; 0.13215823320638997; 2.1689421; 0.19747826684758962
220; 5.973241; 4.335610755918999; 1.1434572; 0.12859603176816004; 2.1636916; 0.1905266600894402
221; 5.9773509; 4.333160918269186; 1.1394382; 0.12534258838075973; 2.1582569; 0.18336585360238988
222; 5.9824686; 4.3447932500140425; 1.1351808; 0.12176055131135977; 2.1533442; 0.1767705563263613
223; 5.9874288; 4.351243764930558; 1.131166; 0.11836608044400032; 2.1479194; 0.16964465110363935
224; 5.9917926; 4.353517438585243; 1.1269575; 0.11489549319374981; 2.1427774; 0.16329421404924016
225; 5.995912; 4.355070888256002; 1.1228545; 0.1113744718297498; 2.138022; 0.15705312751600076
226; 5.9996666; 4.359065688844439; 1.1189966; 0.10816920918843986; 2.1328175; 0.15043741169375124
227; 6.0037246; 4.362168727354835; 1.1147892; 0.10457843956335999; 2.1277719; 0.14404864157039032
228; 6.0082809; 4.366525526695192; 1.1106836; 0.10110754069104; 2.1224954; 0.1374822769788402
229; 6.011789; 4.368258419478998; 1.1068453; 0.09783978186790976; 2.1178601; 0.13165709682798887
230; 6.0181667; 4.378949271011109; 1.1025771; 0.0941374385555902; 2.1129825; 0.1259364546937487
231; 6.021595; 4.379399055975007; 1.098577; 0.09075417507100014; 2.108231; 0.11996265063900058
232; 6.0255828; 4.384532520344166; 1.0944727; 0.08724740895470973; 2.1035097; 0.11417244200591004
233; 6.0293245; 4.387181973699747; 1.0905552; 0.08382355575296008; 2.0986184; 0.10839121118144046
234; 6.0341416; 4.392980551149442; 1.0864919; 0.08027985123439008; 2.0939722; 0.10283942562715964
235; 6.0388071; 4.3979633089895955; 1.0824825; 0.07677893719374995; 2.0894295; 0.09748366452974988
236; 6.042583; 4.401935888111005; 1.0787434; 0.07350527695643994; 2.0846987; 0.09182803021830921
237; 6.047846; 4.404837560284001; 1.0745182; 0.06977483786875993; 2.0801004; 0.08652352591983892
238; 6.052415; 4.409722667775; 1.0705834; 0.06631578364443969; 2.0754496; 0.08111875785984068
239; 6.0555079; 4.415508773037587; 1.0666858; 0.06285000407836017; 2.0711684; 0.07624285884144033
240; 6.06046; 4.4155415884000035; 1.0627754; 0.059308849154839915; 2.0667798; 0.07121825831196027
241; 6.0641043; 4.422404138721511; 1.0588797; 0.05582188092790963; 2.0621383; 0.06601273167311028
242; 6.0678847; 4.428031967505916; 1.0547783; 0.05210363784911021; 2.0577454; 0.061034668778839674
243; 6.072293; 4.428304522151002; 1.0508765; 0.048554281747750005; 2.0534887; 0.05634445897231011
244; 6.0760361; 4.434945611496794; 1.0469963; 0.04499044778631012; 2.0491992; 0.05157263871936113
245; 6.0799193; 4.4379866054875095; 1.0430305; 0.04134227606975016; 2.0449915; 0.04708706492774972
246; 6.0841067; 4.440767163015103; 1.0391862; 0.03776844172955984; 2.0407239; 0.042377063968789486
247; 6.0894599; 4.447386426291992; 1.0353031; 0.03415219113039014; 2.0364381; 0.037767764868391396
248; 6.0930549; 4.451910085585986; 1.0313201; 0.030399951335989828; 2.0322844; 0.033338517516639854
249; 6.0966764; 4.456080673683047; 1.0274366; 0.02672803298044024; 2.0281076; 0.028931362822240736
250; 6.101137; 4.460978707231007; 1.0235112; 0.022982223474560026; 2.0239755; 0.024525275399749802
251; 6.1053057; 4.464352209547513; 1.0195374; 0.019171090001240065; 2.0199037; 0.020292542726309648
252; 6.1086498; 4.469477420959954; 1.0156723; 0.015436479012709725; 2.0158523; 0.01611780458470946
253; 6.1110061; 4.470409145762794; 1.0116873; 0.011552907018710146; 2.0118913; 0.01203229698431052
254; 6.116693; 4.476422143751002; 1.0078481; 0.0077875073263902195; 2.0078956; 0.007954059500640653
255; 6.1203245; 4.482217314699753; 1.0038798; 0.0038647471519599463; 2.0038973; 0.00391471105270913
256; 6.1241213; 4.483851802886321; 1.0; 0.0; 2.0; 0.0
257; 6.1284574; 4.486535496385237; 1.6617545; 0.6596746817297499; 2.9926045; 1.9788952065797485
258; 6.1317824; 4.486879199050243; 1.6580972; 0.6542086753521597; 2.9853343; 1.9560086172435103
259; 6.134669; 4.492990060439006; 1.6534728; 0.6485192996601596; 2.9768278; 1.9310370491471591
260; 6.1407082; 4.5010078024527616; 1.6493163; 0.6424836425543101; 2.969103; 1.9088491753909995
261; 6.1425944; 4.503052637088636; 1.6452533; 0.6368464788391099; 2.9607117; 1.8850265294831097
262; 6.1470163; 4.508660907534313; 1.6410442; 0.63158653364636; 2.9537485; 1.864090298747751
263; 6.1509571; 4.508196853959589; 1.6368729; 0.62565480924559; 2.9473642; 1.8433130725583595
264; 6.1559255; 4.5121281384497465; 1.6331653; 0.6201784028759101; 2.9394213; 1.821289121106311
265; 6.1589424; 4.517513513482243; 1.6280897; 0.6138608287539098; 2.9320674; 1.803717961857238
266; 6.1627055; 4.522947620269747; 1.6248249; 0.6099073443399905; 2.924266; 1.776395161244002
267; 6.1662313; 4.528187254900317; 1.6211266; 0.60500474677244; 2.917122; 1.7593660371159991
